age_years,rr_predicted,vehicle_type,powertrain
1,0.7707631095080905,car,bev
1.5,0.7335899744906706,car,bev
2,0.6982096626506668,car,bev
2.5,0.6645357079167085,car,bev
3,0.6324858143896945,car,bev
3.5,0.6019816552195493,car,bev
4,0.572948681181952,car,bev
4.5,0.5453159384872189,car,bev
5,0.5190158953760824,car,bev
1,0.7959460442859747,cuv,bev
1.5,0.7596407006903017,cuv,bev
2,0.7249913461947217,cuv,bev
2.5,0.6919224464665988,cuv,bev
3,0.6603619125072102,cuv,bev
3.5,0.6302409435003509,cuv,bev
4,0.6014938768290572,cuv,bev
4.5,0.5740580449334891,cuv,bev
5,0.5478736386979295,cuv,bev
1,0.8616585926327283,pickup,bev
1.5,0.8423218042070819,pickup,bev
2,0.8234189595612751,pickup,bev
2.5,0.8049403204078571,pickup,bev
3,0.7868763669997664,pickup,bev
3.5,0.7692177932259873,pickup,bev
4,0.7519555018172676,pickup,bev
4.5,0.7350805996594254,pickup,bev
5,0.7185843932118329,pickup,bev
1,0.9213560564764723,suv,bev
1.5,0.9076107493198549,suv,bev
2,0.8940705023758464,suv,bev
2.5,0.8807322564410174,suv,bev
3,0.8675929979508533,suv,bev
3.5,0.8546497582988875,suv,bev
4,0.8418996131659922,suv,bev
4.5,0.8293396818596747,suv,bev
5,0.8169671266632311,suv,bev
1,0.7960545792251608,car,cv
1.5,0.7697836175250469,car,cv
2,0.7443796358620564,car,cv
2.5,0.7198140226309746,car,cv
3,0.6960591104512727,car,cv
3.5,0.6730881450063159,car,cv
4,0.6508752549109244,car,cv
4.5,0.6293954225733475,car,cv
5,0.6086244560188362,car,cv
1,0.8769569778432976,cuv,cv
1.5,0.8412755019079918,cuv,cv
2,0.8070458277794895,cuv,cv
2.5,0.7742088847935037,cuv,cv
3,0.7427080057428604,cuv,cv
3.5,0.7124888290860459,cuv,cv
4,0.683499205134675,cuv,cv
4.5,0.6556891060579886,cuv,cv
5,0.6290105395490727,cuv,cv
1,0.7682669781259986,minivan,cv
1.5,0.7424412531847443,minivan,cv
2,0.7174836744579326,minivan,cv
2.5,0.6933650587241297,minivan,cv
3,0.6700572037722418,minivan,cv
3.5,0.6475328554243034,minivan,cv
4,0.6257656756668124,minivan,cv
4.5,0.6047302118533479,minivan,cv
5,0.5844018669424598,minivan,cv
1,0.8523449238656107,pickup,cv
1.5,0.8335131383116313,pickup,cv
2,0.8150974239246425,pickup,cv
2.5,0.7970885879907875,pickup,cv
3,0.7794776409008587,pickup,cv
3.5,0.762255791662884,pickup,cv
4,0.74541444351386,pickup,cv
4.5,0.7289451896284398,pickup,cv
5,0.7128398089224336,pickup,cv
1,0.8361806305553593,suv,cv
1.5,0.8077985748222877,suv,cv
2,0.780379876835377,suv,cv
2.5,0.7538918378304567,suv,cv
3,0.7283028689209512,suv,cv
3.5,0.7035824534258664,suv,cv
4,0.6797011104764592,suv,cv
4.5,0.6566303598581855,suv,cv
5,0.6343426880460028,suv,cv
1,0.7255137588662166,car,phev
1.5,0.6977098254079335,car,phev
2,0.6709714247618201,car,phev
2.5,0.6452577224115837,car,phev
3,0.6205294487460209,car,phev
3.5,0.5967488390870096,car,phev
4,0.5738795760158149,car,phev
4.5,0.5518867339096271,car,phev
5,0.5307367256036343,car,phev
1,0.7249705390738671,cuv,phev
1.5,0.7120436849049523,cuv,phev
2,0.6993473277696381,cuv,phev
2.5,0.686877357705686,cuv,phev
3,0.6746297380350524,cuv,phev
3.5,0.6626005040571683,cuv,phev
4,0.6507857617655182,cuv,phev
4.5,0.6391816865871035,cuv,phev
5,0.6277845221443832,cuv,phev
1,0.9927506218884588,pickup,hev
1.5,0.9574815248156525,pickup,hev
2,0.9234654203684916,pickup,hev
2.5,0.8906577939251051,pickup,hev
3,0.8590157123187082,pickup,hev
3.5,0.828497767653811,pickup,hev
4,0.7990640231184502,pickup,hev
4.5,0.7706759607215291,pickup,hev
5,0.7432964308868757,pickup,hev
1,1.0674406756683135,suv,hev
1.5,0.9892624402317103,suv,hev
2,0.9168098967565403,suv,hev
2.5,0.8496637015692846,suv,hev
3,0.7874352232872188,suv,hev
3.5,0.7297642934824499,suv,hev
4,0.6763171220849594,suv,hev
4.5,0.6267843654593414,suv,hev
5,0.5808793359735731,suv,hev
1,0.9431143206480955,cuv,hev
1.5,0.9154518244227153,cuv,hev
2,0.8886006971699675,cuv,hev
2.5,0.8625371406178383,cuv,hev
3,0.8372380545216851,cuv,hev
3.5,0.8126810161903876,cuv,hev
4,0.7888442606130189,cuv,hev
4.5,0.7657066611684201,cuv,hev
5,0.7432477109005836,cuv,hev
1,0.9475498596381572,minivan,hev
1.5,0.8942356203849561,minivan,hev
2,0.843921126293696,minivan,hev
2.5,0.7964375956062083,minivan,hev
3,0.7516257431316498,minivan,hev
3.5,0.709335245918671,minivan,hev
4,0.6694242389917344,minivan,hev
4.5,0.6317588394600132,minivan,hev
5,0.5962126974024776,minivan,hev
1,0.7829712898226566,car,hev
1.5,0.7549327065253185,car,hev
2,0.7278981985542927,car,hev
2.5,0.7018318094830286,car,hev
3,0.6766988705021261,car,hev
3.5,0.6524659543091377,car,hev
4,0.6291008306496002,car,hev
4.5,0.6065724234501629,car,hev
5,0.5848507694868001,car,hev
1,0.5654284586378736,minivan,bev
1.5,0.548602527499871,minivan,bev
2,0.5322772997741849,minivan,bev
2.5,0.5164378756074254,minivan,bev
3,0.501069798533696,minivan,bev
3.5,0.48615904228033885,minivan,bev
4,0.4716919979663116,minivan,bev
4.5,0.45765546168151344,minivan,bev
5,0.44403662243572367,minivan,bev
